n	N	feature_type	time	unique
50	100	1_Cexp	0.4742	100
50	200	1_Cexp	1.15282	200
50	300	1_Cexp	1.79637	300
50	400	1_Cexp	1.69487	400
50	500	1_Cexp	2.16659	500
50	600	1_Cexp	3.06728	600
50	700	1_Cexp	3.62452	700
50	800	1_Cexp	3.82915	800
50	900	1_Cexp	3.88205	900
50	1000	1_Cexp	5.70661	1000
50	2000	1_Cexp	75.1474	2000
50	3000	1_Cexp	136.374	3000
50	4000	1_Cexp	181.681	4000
50	5000	1_Cexp	246.349	5000
50	6000	1_Cexp	300.475	6000
50	7000	1_Cexp	348.28	7000
50	8000	1_Cexp	404.474	8000
50	9000	1_Cexp	438.287	9000
50	10000	1_Cexp	513.327	10000
