n	N	feature_type	time	unique
20	100	1_Dminpl	0.477551	100
20	200	1_Dminpl	0.684128	200
20	300	1_Dminpl	0.821557	300
20	400	1_Dminpl	1.32334	400
20	500	1_Dminpl	1.18325	500
20	600	1_Dminpl	1.62843	600
20	700	1_Dminpl	1.9385	700
20	800	1_Dminpl	1.93199	800
20	900	1_Dminpl	2.09403	900
20	1000	1_Dminpl	2.34999	1000
20	2000	1_Dminpl	36.0066	1998
20	3000	1_Dminpl	57.9368	2994
20	4000	1_Dminpl	77.927	3991
20	5000	1_Dminpl	106.098	4984
20	6000	1_Dminpl	131.842	5976
20	7000	1_Dminpl	160.05	6969
20	8000	1_Dminpl	182.69	7961
20	9000	1_Dminpl	220.459	8944
20	10000	1_Dminpl	240.633	9932
