n	N	feature_type	time	unique
12	100	2_Dminpl_Cexp	0.604992	95
12	200	2_Dminpl_Cexp	1.16635	174
12	300	2_Dminpl_Cexp	1.35073	232
12	400	2_Dminpl_Cexp	1.31487	286
12	500	2_Dminpl_Cexp	1.96454	334
12	600	2_Dminpl_Cexp	1.98218	367
12	700	2_Dminpl_Cexp	1.88869	393
12	800	2_Dminpl_Cexp	2.16174	417
12	900	2_Dminpl_Cexp	2.24866	438
12	1000	2_Dminpl_Cexp	2.09023	459
12	2000	2_Dminpl_Cexp	20.9418	532
12	3000	2_Dminpl_Cexp	22.359	547
12	4000	2_Dminpl_Cexp	22.2842	551
12	5000	2_Dminpl_Cexp	21.9633	551
12	6000	2_Dminpl_Cexp	21.4565	551
12	7000	2_Dminpl_Cexp	22.8096	551
12	8000	2_Dminpl_Cexp	21.4429	551
12	9000	2_Dminpl_Cexp	20.805	551
12	10000	2_Dminpl_Cexp	21.8495	551
