n	N	feature_type	time	unique
18	100	2_Dminpl_Cvar	0.760601	100
18	200	2_Dminpl_Cvar	0.692894	200
18	300	2_Dminpl_Cvar	0.683985	300
18	400	2_Dminpl_Cvar	0.701266	400
18	500	2_Dminpl_Cvar	0.724687	499
18	600	2_Dminpl_Cvar	0.652681	599
18	700	2_Dminpl_Cvar	0.801527	698
18	800	2_Dminpl_Cvar	0.629072	798
18	900	2_Dminpl_Cvar	0.707672	898
18	1000	2_Dminpl_Cvar	0.685158	998
18	2000	2_Dminpl_Cvar	6.92514	1988
18	3000	2_Dminpl_Cvar	7.11341	2970
18	4000	2_Dminpl_Cvar	7.12636	3942
18	5000	2_Dminpl_Cvar	7.56698	4898
18	6000	2_Dminpl_Cvar	7.663	5865
18	7000	2_Dminpl_Cvar	8.10399	6816
18	8000	2_Dminpl_Cvar	8.26286	7755
18	9000	2_Dminpl_Cvar	8.37897	8669
18	10000	2_Dminpl_Cvar	8.62823	9599
