n	N	feature_type	time	unique
15	100	3_Dminpl_Cexp_Cvar	0.638943	100
15	200	3_Dminpl_Cexp_Cvar	0.672783	198
15	300	3_Dminpl_Cexp_Cvar	0.647266	293
15	400	3_Dminpl_Cexp_Cvar	0.735067	386
15	500	3_Dminpl_Cexp_Cvar	0.72013	475
15	600	3_Dminpl_Cexp_Cvar	0.70085	569
15	700	3_Dminpl_Cexp_Cvar	0.659144	667
15	800	3_Dminpl_Cexp_Cvar	0.772281	758
15	900	3_Dminpl_Cexp_Cvar	0.682752	847
15	1000	3_Dminpl_Cexp_Cvar	0.736817	927
15	2000	3_Dminpl_Cexp_Cvar	8.06015	1733
15	3000	3_Dminpl_Cexp_Cvar	8.79285	2451
15	4000	3_Dminpl_Cexp_Cvar	9.32026	3095
15	5000	3_Dminpl_Cexp_Cvar	10.24	3674
15	6000	3_Dminpl_Cexp_Cvar	10.84	4160
15	7000	3_Dminpl_Cexp_Cvar	10.947	4575
15	8000	3_Dminpl_Cexp_Cvar	11.3566	4969
15	9000	3_Dminpl_Cexp_Cvar	11.5081	5316
15	10000	3_Dminpl_Cexp_Cvar	11.6404	5582
